,year,month,intent,police,sex,age,race,hispanic,place,education
145,12,1,0,0,0,40,1,100,0,4
146,12,1,1,0,0,23,3,100,2,1
147,12,1,0,0,0,57,1,100,5,2
148,12,1,0,0,0,81,1,100,0,2
149,12,1,0,0,0,63,1,100,5,4
150,12,1,0,0,0,54,1,100,5,1
151,12,1,0,0,0,46,1,100,5,2
152,12,1,1,0,0,52,1,100,2,2
153,12,1,0,0,0,59,1,100,0,4
154,12,1,0,0,0,31,3,100,5,3
155,12,1,0,0,0,64,3,100,0,2
156,12,1,0,0,1,36,1,100,5,2
157,12,1,1,0,0,40,3,100,0,3
158,12,1,1,0,0,45,4,211,0,1
159,12,1,0,0,0,47,1,100,2,2
160,12,1,1,0,1,53,1,100,0,1
161,12,1,0,0,0,55,1,100,2,4
162,12,1,1,0,0,26,3,100,1,1
163,12,1,1,0,0,28,1,100,0,1
164,12,1,1,0,0,25,1,100,0,1
165,12,1,1,0,0,68,3,100,0,3
166,12,1,0,0,0,49,3,100,5,4
167,12,1,1,0,1,48,3,100,5,4
168,12,1,0,0,0,68,3,100,5,3
169,12,1,0,0,0,45,1,100,0,2
170,12,1,1,0,0,47,1,100,0,4
171,12,1,0,0,0,37,3,100,0,2
172,12,2,0,0,0,37,1,100,0,2
173,12,1,1,0,0,62,1,100,3,1
174,12,1,0,0,0,60,1,100,5,2
175,12,1,0,0,1,53,1,100,0,3
176,12,1,1,0,0,36,3,100,1,1
177,12,1,1,0,1,41,1,100,5,4
178,12,2,0,0,0,47,1,100,5,2
179,12,1,0,0,0,25,1,100,0,3
180,12,1,1,0,0,30,3,100,5,1
181,12,2,0,0,0,43,1,100,5,3
182,12,1,0,0,0,41,3,100,0,2
183,12,1,1,0,0,39,3,100,5,1
184,12,2,0,0,0,39,1,100,5,1
185,12,1,1,0,0,35,3,100,0,2
186,12,2,1,0,0,35,3,100,0,2
187,12,2,0,0,0,30,1,100,5,3
188,12,2,1,0,0,22,3,100,2,1
189,12,1,1,0,0,23,3,100,0,2
190,12,1,1,0,0,19,3,100,0,1
191,12,1,1,0,0,33,3,100,0,2
192,12,1,1,0,0,23,4,261,0,1
193,12,2,1,0,0,49,1,100,5,3
194,12,2,0,0,0,50,1,100,0,2
195,12,2,1,0,0,44,3,100,0,2
196,12,2,0,0,0,46,1,100,5,3
197,12,1,1,0,0,46,1,100,0,2
198,12,1,1,0,0,21,3,100,0,2
199,12,1,1,0,0,42,3,100,0,2
200,12,2,0,0,0,42,1,100,5,2
201,12,1,1,0,0,34,3,100,0,2
202,12,1,1,0,0,50,1,100,2,1
203,12,1,0,0,0,25,1,100,0,2
204,12,2,0,0,0,60,1,100,5,3
205,12,2,0,0,0,47,3,100,1,2
206,12,2,1,0,0,36,3,100,3,1
207,12,2,1,0,0,24,3,100,0,3
208,12,2,0,0,0,22,1,100,0,1
209,12,2,1,0,1,20,1,100,0,2
